	dtm	0.1	0.2	0.3	0.4	0.5
1206	2019-12-26 03:00:00	0.027365959534236702	3.4120883841049204e-06	1.1109865976797126e-06	1.5428118603139277e-06	2.0030226217653785e-06
1207	2019-12-26 03:30:00	0.014393239524880877	2.884580397917027e-06	9.930511348159911e-07	1.1220425234658967e-06	1.046931038997201e-06
1208	2019-12-26 04:00:00	0.020043186853342682	2.4235709306280463e-06	9.284878274556104e-07	1.400127856702647e-06	1.853502695084844e-06
1209	2019-12-26 04:30:00	0.006325216289942111	1.026974958967495e-05	3.4639921288888586e-06	3.6905040711543312e-06	1.8814689007829201e-06
1210	2019-12-26 05:00:00	0.030066432807910663	1.1566025501269703e-05	4.990499756204913e-06	4.102628110637225e-06	3.2314162056152253e-06
1211	2019-12-26 05:30:00	0.012341301791891595	3.565813408436034e-06	1.4493378857173403e-06	1.9925190908724312e-06	8.97162045854838e-07
1212	2019-12-26 06:00:00	0.019730576018936106	4.280019474335926e-06	1.7495905814996088e-06	1.0975502041065424e-06	7.516625276278771e-07
1213	2019-12-26 06:30:00	0.02128920588434286	1.5173708286223877e-05	6.520643797116002e-06	3.7023943349061943e-06	3.0796142949814275e-06
1214	2019-12-26 07:00:00	0.01830810577693643	1.517248978233352e-05	5.613833914812408e-06	3.5328522497611912e-06	3.5066267815029496e-06
1215	2019-12-26 07:30:00	0.013294148350982252	1.3999284355179273e-05	1.5902098628197445e-06	2.028188482141587e-06	9.507311393038148e-07
1216	2019-12-26 08:00:00	0.008714338384040189	1.4021150339649999e-05	4.79747026984086e-06	3.065150770145532e-06	2.82520891586007e-06
1217	2019-12-26 08:30:00	0.02491054873697544	2.0551806220714162e-05	7.166395394894138e-06	4.7078771011315215e-06	4.1105804602335295e-06
1218	2019-12-26 09:00:00	0.020242716395431015	1.1702415747199556e-05	4.758469756160743e-06	2.908996297742887e-06	2.329744027118331e-06
1219	2019-12-26 09:30:00	0.0434007463216333	2.2692692724835795e-05	8.361903973866712e-06	5.02638036304756e-06	4.210414534271307e-06
1220	2019-12-26 10:00:00	0.012773278403417116	5.106818847300626e-06	1.1523928066641762e-06	1.0397737353917372e-06	1.7689483995790394e-06
1221	2019-12-26 10:30:00	0.0205328036063921	6.748938417901617e-06	1.789776138354653e-06	1.985635485256492e-06	1.6134054791220877e-06
1222	2019-12-26 11:00:00	0.00889791745274464	1.1761550246994017e-05	4.197806909666125e-06	3.7426035158789603e-06	3.4283337222001433e-06
1223	2019-12-26 11:30:00	0.012046855498238845	8.82277203417323e-06	2.9471098010862233e-06	1.7806517048353093e-06	1.0847364599509279e-06
1224	2019-12-26 12:00:00	0.002102861393579604	5.05144134619695e-06	1.6695285117844055e-06	8.61825299354444e-07	7.040950255951041e-07
1225	2019-12-26 12:30:00	0.0025492877037950625	5.505914671099535e-06	2.496752028552688e-06	1.2110256423237699e-06	1.0373688870507385e-06
1226	2019-12-26 13:00:00	0.012364935984364158	6.067273296628153e-06	2.538237524187271e-06	2.0711235128081335e-06	1.5245837581158143e-06
1227	2019-12-26 13:30:00	0.026806093915464697	1.4240331976545736e-05	5.611046449988176e-06	3.4148630618462404e-06	2.618906709669174e-06
1228	2019-12-26 14:00:00	0.003985698230132832	8.375540138441632e-06	3.437174722418881e-06	2.092369994120589e-06	1.375621058712662e-06
1229	2019-12-26 14:30:00	0.005681804019474577	1.1660842895209188e-05	4.706837032108821e-06	3.765859005256671e-06	2.117241274886724e-06
